Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	AL-01126	AL-01127N	AL-01127C	AL-01128N	AL-01128C	AL-01129N	AL-01129C	AL-01130N	AL-01130C	AL-01131N
sp|P51432|PLCB3_MOUSE	P51432	PLCB3_MOUSE	Plcb3	1234	Mus musculus OX=10090	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 	1:Experimental evidence at protein level	0.9939	0.9990	2	2	2	2	2	2	9700920	857666	857666	8M(15.9949), N-term(229.1629)			30297.1029	18271.5027	16069.1273	33297.3608	38586.7617	48321.0189	51282.6068	36074.4332	52261.0079	49663.0416
sp|Q8BGR9|UBCP1_MOUSE	Q8BGR9	UBCP1_MOUSE	Ublcp1	318	Mus musculus OX=10090	Ubiquitin-like domain-containing CTD phosphatase 1 	1:Experimental evidence at protein level	0.9939	0.9990	2	1	2	2	1	2	4648130	628336	4648130	10K(229.1629), 7K(229.1629), N-term(229.1629), N-term(42.0106)			100768.1318	110465.0095	78840.0424	90236.3707	112502.0547	95143.7194	82065.8170	69321.8932	80717.9440	68499.5487
sp|Q8K4I3|ARHG6_MOUSE	Q8K4I3	ARHG6_MOUSE	Arhgef6	771	Mus musculus OX=10090	Rho guanine nucleotide exchange factor 6 	1:Experimental evidence at protein level	0.9939	0.9990	2	1	2	2	1	2	911359	387294	911359	13K(229.1629), 5C(57.0214), N-term(229.1629)			80042.9244	77571.7526	63037.4693	69649.6464	80888.2363	74823.8094	87141.8446	73584.3823	77586.5776	69921.8762
sp|Q9D8Y1|T126A_MOUSE	Q9D8Y1	T126A_MOUSE	Tmem126a	196	Mus musculus OX=10090	Transmembrane protein 126A 	1:Experimental evidence at protein level	0.9939	0.9986	2	2	2	3	3	3	5341982	5341982	5341982	N-term(229.1629)			173322.7863	207783.2546	159114.3050	146385.1399	239262.4126	180536.7747	184505.0033	133188.3664	129851.2085	131429.2728
sp|Q9JK81|MYG1_MOUSE	Q9JK81	MYG1_MOUSE	Myg1	380	Mus musculus OX=10090	MYG1 exonuclease 	1:Experimental evidence at protein level	0.9939	0.9990	2	2	2	2	2	2	214504	214504	214504	6M(15.9949), N-term(229.1629)			64738.5700	55346.0995	45140.3842	60072.9581	74585.5381	74970.8260	74004.3984	72314.3326	81636.4882	70016.2518
sp|P62892|RL39_MOUSE	P62892	RL39_MOUSE	Rpl39	51	Mus musculus OX=10090	60S ribosomal protein L39 	1:Experimental evidence at protein level	0.9937	0.9957	1	1	1	2	2	2	13568098	13568098	13568098	N-term(229.1629)			86265.4084	102892.1380	103915.0021	103402.9464	165141.9492	124763.0118	83039.5904	89185.7676	89781.0864	80409.9356
sp|Q8K1N1|PLPL8_MOUSE	Q8K1N1	PLPL8_MOUSE	Pnpla8	776	Mus musculus OX=10090	Calcium-independent phospholipase A2-gamma 	1:Experimental evidence at protein level	0.9936	0.9990	2	2	2	2	2	2	712064	712064	712064	13K(229.1629), N-term(229.1629)			35564.4366	30910.0667	22867.6665	32247.1073	37340.7500	30083.8245	31590.5408	29007.9706	22440.8948	37203.0023
sp|O70152|DPM1_MOUSE	O70152	DPM1_MOUSE	Dpm1	260	Mus musculus OX=10090	Dolichol-phosphate mannosyltransferase subunit 1 	1:Experimental evidence at protein level	0.9935	0.9982	2	2	2	2	2	2	526003	526003	526003	N-term(229.1629)			11264.6873	3932.5760	6193.2353	3506.8645	8503.4248	9508.9955	9942.7912	8650.1841	11738.5355	11825.0528
sp|Q99P88|NU155_MOUSE	Q99P88	NU155_MOUSE	Nup155	1391	Mus musculus OX=10090	Nuclear pore complex protein Nup155 	1:Experimental evidence at protein level	0.9935	0.9990	2	2	2	2	2	2	1466757	1466757	1466757	10K(229.1629), 14K(229.1629), 1C(57.0214), N-term(229.1629)			52416.1261	47797.4581	41369.2447	60095.0914	71469.4805	62149.0754	61081.5046	50429.2666	54008.4600	56236.3692
sp|Q9JHG6-2|RCAN1_MOUSE	Q9JHG6-2	RCAN1_MOUSE	Rcan1	198	Mus musculus OX=10090	Isoform B of Calcipressin-1 		0.9935	0.9990	2	0	2	2	0	2	373713	     0	373713	19K(229.1629), N-term(229.1629)		sp|Q9JHG6-4|RCAN1_MOUSE, sp|Q9JHG6|RCAN1_MOUSE	85499.7111	58286.3285	76725.5511	74752.5667	130706.8984	115441.6550	122731.6594	100514.6362	118170.9190	107118.7949
sp|P61079|UB2D3_MOUSE	P61079	UB2D3_MOUSE	Ube2d3	147	Mus musculus OX=10090	Ubiquitin-conjugating enzyme E2 D3 	1:Experimental evidence at protein level	0.9934	0.9990	3	1	3	11	2	11	76758902	38417304	48258908	10C(57.0214), 11K(229.1629), 6C(57.0214), N-term(229.1629)			1204544.5224	1645545.8381	1091178.2642	1275933.5388	1554556.7764	1409513.7447	1153533.5967	1051719.6521	1183181.7876	805679.9911
sp|Q3UEB3-2|PUF60_MOUSE	Q3UEB3-2	PUF60_MOUSE	Puf60	547	Mus musculus OX=10090	Isoform 2 of Poly(U)-binding-splicing factor PUF60 		0.9934	0.9975	2	0	2	2	0	2	233110	     0	233110	7K(229.1629), N-term(229.1629)		sp|Q3UEB3-3|PUF60_MOUSE, sp|Q3UEB3|PUF60_MOUSE	45885.9566	52391.4258	41872.5111	42748.1554	53937.7129	46380.4126	49158.2058	38772.5275	40590.6927	42446.7042
sp|Q80WQ2|VAC14_MOUSE	Q80WQ2	VAC14_MOUSE	Vac14	782	Mus musculus OX=10090	Protein VAC14 homolog 	1:Experimental evidence at protein level	0.9933	0.9980	2	2	2	2	2	2	728952	728952	728952	16K(229.1629), 7K(229.1629), N-term(229.1629)			122865.1972	119996.7191	97984.5737	137126.6053	168720.0977	141483.2391	227198.7676	187211.7517	178338.3249	195420.0717
sp|Q8VED5|K2C79_MOUSE	Q8VED5	K2C79_MOUSE	Krt79	531	Mus musculus OX=10090	Keratin, type II cytoskeletal 79 	1:Experimental evidence at protein level	0.9933	0.9981	1	0	1	3	0	3	71391334	     0	3986753	5M(15.9949), N-term(229.1629)			286418.3317	135192.5453	169797.2067	157626.5661	216185.4756	152518.5805	205520.0251	164315.2836	147414.2397	191424.7914
sp|Q9QXX8|NUFP1_MOUSE	Q9QXX8	NUFP1_MOUSE	Nufip1	484	Mus musculus OX=10090	FMR1-interacting protein NUFIP1 	1:Experimental evidence at protein level	0.9933	0.9923	1	1	1	5	5	5	6655388	6655388	6655388	11K(229.1629), 9S(229.1629), N-term(229.1629)			1228321.5957	547761.8883	744089.1101	198430.7700	713818.3242	270436.4408	325432.0998	188897.9276	185284.4818	205740.1872
sp|O35691|PININ_MOUSE	O35691	PININ_MOUSE	Pnn	725	Mus musculus OX=10090	Pinin 	1:Experimental evidence at protein level	0.9932	0.9986	2	2	2	3	3	3	6240612	6240612	6240612	N-term(229.1629)			156022.5700	190822.4823	150566.6720	122434.8540	203476.7031	156943.4188	145719.4155	121293.9866	123490.5195	101836.6532
sp|P56213|ALR_MOUSE	P56213	ALR_MOUSE	Gfer	198	Mus musculus OX=10090	FAD-linked sulfhydryl oxidase ALR 	1:Experimental evidence at protein level	0.9932	0.9975	2	2	2	2	2	2	2139920	2139920	2139920	3K(229.1629), 3M(15.9949), 8C(57.0214), N-term(229.1629)			80360.7776	91387.5811	74213.0588	56901.5266	100916.9551	83998.7946	78485.1274	75909.5754	71841.4742	61973.8314
sp|Q9D3B1|HACD2_MOUSE	Q9D3B1	HACD2_MOUSE	Hacd2	254	Mus musculus OX=10090	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2 	1:Experimental evidence at protein level	0.9931	0.9990	2	2	2	3	3	3	1362645	1362645	1362645	10K(229.1629), N-term(229.1629), N-term(42.0106)			116772.3713	145332.8354	57526.1963	83708.3705	125573.5347	105888.7039	77694.3342	70484.6524	115204.6375	47932.4579
sp|Q9DB76|EMC9_MOUSE	Q9DB76	EMC9_MOUSE	Emc9	206	Mus musculus OX=10090	ER membrane protein complex subunit 9 	1:Experimental evidence at protein level	0.9931	0.9990	2	2	2	3	3	3	3190092	3190092	3190092	10C(57.0214), N-term(229.1629)			22890.1948	41347.9167	30714.8275	47512.5189	50079.4194	47625.1432	64127.0486	60332.6586	81168.0684	62786.7644
sp|P01642|KV5A9_MOUSE	P01642	KV5A9_MOUSE	Gm10881	115	Mus musculus OX=10090	Ig kappa chain V-V region L7 (Fragment) 	1:Experimental evidence at protein level	0.9930	0.9990	1	1	1	3	3	3	3855857	3855857	3855857	N-term(229.1629)			58848.8100	83869.3476	79365.4258	78275.1848	97596.9609	83131.7928	115867.2611	83184.1098	96568.1351	90294.1313
sp|P62257|UBE2H_MOUSE	P62257	UBE2H_MOUSE	Ube2h	183	Mus musculus OX=10090	Ubiquitin-conjugating enzyme E2 H 	1:Experimental evidence at protein level	0.9930	0.9990	2	2	2	2	2	2	1787427	1787427	1787427	10K(229.1629), 12K(229.1629), 6K(229.1629), 8K(229.1629), N-term(229.1629)			77205.2187	130168.9852	77057.4997	90496.1094	104628.3667	89561.5248	79272.6169	65303.8968	76981.8029	66988.2097
sp|Q04750|TOP1_MOUSE	Q04750	TOP1_MOUSE	Top1	767	Mus musculus OX=10090	DNA topoisomerase 1 	1:Experimental evidence at protein level	0.9930	0.9974	3	3	3	3	3	3	191764554	191764554	191764554	12K(229.1629), 2K(229.1629), 7K(229.1629), N-term(229.1629)			178791.1618	203687.8134	157597.4955	120542.9594	194521.1504	156375.4972	190318.1078	156697.7289	152922.4588	140493.5009
sp|Q9WUH1|TM115_MOUSE	Q9WUH1	TM115_MOUSE	Tmem115	350	Mus musculus OX=10090	Transmembrane protein 115 	1:Experimental evidence at protein level	0.9930	0.9990	1	1	1	2	2	2	350451	350451	350451	N-term(229.1629)			12114.2480	7273.1367	8561.7795	27986.1507	24190.5464	17844.0785	36415.8422	23078.1857	41563.3611	28940.1061
sp|A2AUU0-5|METL8_MOUSE	A2AUU0-5	METL8_MOUSE	Mettl8	206	Mus musculus OX=10090	Isoform 5 of tRNA N(3)-methylcytidine methyltransferase METTL8, mitochondrial 		0.9929	0.9986	2	0	2	3	0	3	62210738	     0	62210738	8K(229.1629), N-term(229.1629)			1343205.8480	1429546.2352	955834.0052	200134.2371	1095002.5156	384954.7946	419275.2344	439532.2473	267712.9585	267994.6133
sp|Q03311|CHLE_MOUSE	Q03311	CHLE_MOUSE	Bche	603	Mus musculus OX=10090	Cholinesterase 	1:Experimental evidence at protein level	0.9928	0.9980	1	1	1	2	2	2	4443629	4443629	4443629	9K(229.1629), N-term(229.1629)			290908.6198	325683.1193	251911.1285	189951.6994	277897.9766	192917.9656	236873.7051	199143.4814	175774.5025	196645.4266
sp|Q8BHL8|PSMF1_MOUSE	Q8BHL8	PSMF1_MOUSE	Psmf1	271	Mus musculus OX=10090	Proteasome inhibitor PI31 subunit 	1:Experimental evidence at protein level	0.9928	0.9990	1	1	1	1	1	1	     0	     0	     0	18C(57.0214), N-term(229.1629)			14043.8445	13112.3169	6650.1626	18043.1201	14787.4482	14987.3847	20927.6047	17314.3788	22232.8752	22089.9928
sp|Q9JLI6-2|SCLY_MOUSE	Q9JLI6-2	SCLY_MOUSE	Scly	283	Mus musculus OX=10090	Isoform 2 of Selenocysteine lyase 		0.9928	0.9990	1	0	1	1	0	1	794117	     0	794117	13K(229.1629), N-term(229.1629)		sp|Q9JLI6|SCLY_MOUSE	37274.5964	39120.5933	28177.4927	32362.9208	46992.1602	31211.4801	52430.2129	34210.0571	43422.4775	48208.3514
sp|E9Q137|TX264_MOUSE	E9Q137	TX264_MOUSE	Tex264	309	Mus musculus OX=10090	Testis-expressed protein 264 homolog 	2:Experimental evidence at transcript level	0.9926	0.9985	2	1	2	2	1	2	1713427	1713427	1713427	10K(229.1629), N-term(229.1629)			25151.0718	32169.7441	19216.1550	30011.5437	31361.0469	34774.0743	34009.2839	26316.4731	31031.3506	32620.4055
sp|O54865|GCYB1_MOUSE	O54865	GCYB1_MOUSE	Gucy1b1	620	Mus musculus OX=10090	Guanylate cyclase soluble subunit beta-1 	1:Experimental evidence at protein level	0.9926	0.9990	1	1	1	2	2	2	348868	348868	348868	N-term(229.1629)			0.0000	0.0000	2799.4262	3558.8290	8588.5266	0.0000	9179.9058	5593.7778	7190.3053	7278.5302
sp|Q9JMA2|TGT_MOUSE	Q9JMA2	TGT_MOUSE	Qtrt1	403	Mus musculus OX=10090	Queuine tRNA-ribosyltransferase catalytic subunit 1 	1:Experimental evidence at protein level	0.9926	0.9990	1	1	1	1	1	1	342906	342906	342906	16K(229.1629), N-term(229.1629)			18679.5662	24338.0057	21816.3421	25290.6721	34331.8086	26786.4697	36960.5151	28592.1938	34798.9807	40167.7525
contam_sp|Q7M135|LYSC_LYSEN	Q7M135	LYSC_LYSEN		269	Lysobacter enzymogenes	Lysyl endopeptidase 	1:Experimental evidence at protein level	0.9925	0.9990	1	1	1	1	1	1	1867104	1867104	1867104	19K(229.1629)			56520.7089	64020.8938	45682.8238	68389.5026	102443.1172	85156.7755	73534.3879	84406.7352	79225.1130	52138.3548
sp|O88811|STAM2_MOUSE	O88811	STAM2_MOUSE	Stam2	523	Mus musculus OX=10090	Signal transducing adapter molecule 2 	1:Experimental evidence at protein level	0.9925	0.9989	2	0	2	4	0	4	1278362	     0	1278362	10K(229.1629), 7C(57.0214), 8S(229.1629), N-term(229.1629)			36460.0076	32562.9668	28570.0715	43533.0424	44978.5767	41675.5883	58600.6789	41419.1718	57351.6711	51807.7334
sp|Q6X893-2|CTL1_MOUSE	Q6X893-2	CTL1_MOUSE	Slc44a1	718	Mus musculus OX=10090	Isoform 2 of Choline transporter-like protein 1 		0.9925	0.9990	1	0	1	1	0	1	1192718	     0	1192718	N-term(229.1629)		sp|Q6X893|CTL1_MOUSE	39590.8300	23833.4219	28766.5999	26615.2966	42653.7266	33323.5227	29587.6476	23480.7019	22793.5338	18585.6626
sp|Q9QYF1|RDH11_MOUSE	Q9QYF1	RDH11_MOUSE	Rdh11	316	Mus musculus OX=10090	Retinol dehydrogenase 11 	1:Experimental evidence at protein level	0.9924	0.9986	2	2	2	2	2	2	1277101	1277101	1277101	1K(229.1629), 8K(229.1629), N-term(229.1629)			100863.6901	114096.1771	90577.7515	77281.7853	121299.7578	104339.7078	109069.9847	131781.9094	86452.9959	115778.9588
sp|O88447|KLC1_MOUSE	O88447	KLC1_MOUSE	Klc1	541	Mus musculus OX=10090	Kinesin light chain 1 	1:Experimental evidence at protein level	0.9923	0.9989	2	1	2	2	1	2	5268175	414235	3194633	N-term(229.1629)			85342.7834	284770.8173	93986.0336	179767.7636	181193.5796	108267.4176	115985.2633	83030.4980	112603.7345	91026.4298
sp|Q5U419|MFSD3_MOUSE	Q5U419	MFSD3_MOUSE	Mfsd3	412	Mus musculus OX=10090	Major facilitator superfamily domain-containing protein 3 	1:Experimental evidence at protein level	0.9923	0.9941	2	2	2	2	2	2	12913626	12913626	12913626	14K(229.1629), 18K(229.1629), N-term(229.1629)			174724.6497	633325.2649	152336.5146	391881.7732	403900.1719	300935.9151	334435.3934	314645.1737	258674.3076	169100.4025
sp|Q8R1K1|UBAC2_MOUSE	Q8R1K1	UBAC2_MOUSE	Ubac2	345	Mus musculus OX=10090	Ubiquitin-associated domain-containing protein 2 	1:Experimental evidence at protein level	0.9922	0.9989	1	1	1	1	1	1	3862383	3862383	3862383	N-term(229.1629)			26384.6054	15957.5225	21588.7499	45735.9311	40641.2617	29085.6551	44427.4044	33883.0895	33229.9688	36025.2704
sp|P15208|INSR_MOUSE	P15208	INSR_MOUSE	Insr	1372	Mus musculus OX=10090	Insulin receptor 	1:Experimental evidence at protein level	0.9920	0.9974	2	2	2	2	2	2	606042	606042	606042	8K(229.1629), N-term(229.1629)			11559.9168	15135.0323	11742.0759	13469.6539	16480.2480	17441.8958	18490.1331	14307.5956	16422.9982	21894.9068
sp|Q0GNC1-3|INF2_MOUSE	Q0GNC1-3	INF2_MOUSE	Inf2	1264	Mus musculus OX=10090	Isoform 2 of Inverted formin-2 		0.9920	0.9931	2	0	2	5	0	5	11289715	     0	11289715	N-term(229.1629)		sp|Q0GNC1|INF2_MOUSE	464650.8065	512471.9383	459815.2966	485465.3670	606006.2227	609161.9345	592794.0559	568298.9467	602852.3812	494339.8243
sp|Q9ESH5|WFDC1_MOUSE	Q9ESH5	WFDC1_MOUSE	Wfdc1	211	Mus musculus OX=10090	WAP four-disulfide core domain protein 1 	2:Experimental evidence at transcript level	0.9920	0.9950	3	3	3	3	3	3	1153978	1153978	1153978	7K(229.1629), 8K(229.1629), N-term(229.1629)			56828.8446	65126.8557	47497.9243	37520.3646	81232.3730	58208.5067	53716.2521	47598.5898	55895.4274	51280.4195
sp|Q4ACU6-10|SHAN3_MOUSE	Q4ACU6-10	SHAN3_MOUSE	Shank3	1104	Mus musculus OX=10090	Isoform 9 of SH3 and multiple ankyrin repeat domains protein 3 		0.9918	0.9980	2	0	2	2	0	2	40144709	     0	40144709	8K(229.1629), N-term(229.1629)			1337740.2689	1731537.9436	1084586.8365	1008753.9670	1605114.8438	1433157.6985	1043864.2441	795796.9427	1041961.0304	598543.4465
sp|Q9D554|SF3A3_MOUSE	Q9D554	SF3A3_MOUSE	Sf3a3	501	Mus musculus OX=10090	Splicing factor 3A subunit 3 	1:Experimental evidence at protein level	0.9918	0.9989	1	1	1	1	1	1	499504	499504	499504	12K(229.1629), N-term(229.1629)			10928.6165	19056.7159	13575.9750	14528.1638	23440.9316	9552.7235	15447.6549	13495.3711	21891.1150	14281.7879
sp|Q9R1B9|SLIT2_MOUSE	Q9R1B9	SLIT2_MOUSE	Slit2	1521	Mus musculus OX=10090	Slit homolog 2 protein 	2:Experimental evidence at transcript level	0.9918	0.9989	1	1	1	1	1	1	308359	308359	308359	8K(229.1629), N-term(229.1629)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|P70297|STAM1_MOUSE	P70297	STAM1_MOUSE	Stam	548	Mus musculus OX=10090	Signal transducing adapter molecule 1 	1:Experimental evidence at protein level	0.9914	0.9989	2	2	2	3	3	3	2247088	454655	1355992	8K(229.1629), N-term(229.1629)			63040.4233	68126.6155	46572.3174	42887.3036	68919.3125	64635.8178	67845.0586	64540.7537	46495.1084	58289.7689
sp|O08908|P85B_MOUSE	O08908	P85B_MOUSE	Pik3r2	722	Mus musculus OX=10090	Phosphatidylinositol 3-kinase regulatory subunit beta 	1:Experimental evidence at protein level	0.9913	0.9985	2	1	2	2	1	2	1406377	972788	1406377	10K(229.1629), 11K(229.1629), 6M(15.9949), N-term(229.1629)			77966.9113	99675.5438	89404.9247	95093.0097	129076.3711	94421.7747	117077.1977	91807.0744	96722.4919	77278.5741
sp|Q80TH2-1|ERBIN_MOUSE	Q80TH2-1	ERBIN_MOUSE	Erbin	1376	Mus musculus OX=10090	Isoform 1 of Erbin 		0.9908	0.9987	1	0	1	1	0	1	4435350	     0	4435350	2K(229.1629), N-term(229.1629)		sp|Q80TH2-2|ERBIN_MOUSE, sp|Q80TH2|ERBIN_MOUSE	26452.2935	39594.6072	30157.4244	33243.4385	34521.8242	32749.5003	28523.7479	30321.2445	29137.6520	21937.6040
sp|O35326|SRSF5_MOUSE	O35326	SRSF5_MOUSE	Srsf5	269	Mus musculus OX=10090	Serine/arginine-rich splicing factor 5 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	2	2	2	5364293	2046061	2046061	15K(229.1629), N-term(229.1629)			76963.0656	50485.6156	71556.6285	91437.8641	95136.1992	96922.8209	104840.9371	83252.9709	112936.5107	102425.8966
sp|O35387|HAX1_MOUSE	O35387	HAX1_MOUSE	Hax1	280	Mus musculus OX=10090	HCLS1-associated protein X-1 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	1	1	1	1593130	1593130	1593130	N-term(229.1629)			26048.9652	31774.1327	24225.5884	28472.5284	44913.3398	28555.5851	31700.6281	35200.3478	27580.1413	30836.6003
sp|P10711-2|TCEA1_MOUSE	P10711-2	TCEA1_MOUSE	Tcea1	266	Mus musculus OX=10090	Isoform 1 of Transcription elongation factor A protein 1 		0.9907	0.9990	1	0	1	1	0	1	484714	     0	484714	1K(229.1629), 2K(229.1629), N-term(229.1629)		sp|P10711|TCEA1_MOUSE	21265.7459	28656.9614	23910.0894	13367.9633	21126.5391	27776.3245	15008.2635	13987.1877	9173.7626	14093.3887
sp|P17095-1|HMGA1_MOUSE	P17095-1	HMGA1_MOUSE	Hmga1	96	Mus musculus OX=10090	Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y 		0.9907	0.9990	1	1	1	1	1	1	32323624	2158824	2158824	14K(229.1629), 1K(229.1629), 5K(229.1629), N-term(229.1629)			176076.8910	246644.4653	113060.8412	168066.4513	190598.1406	149854.3214	119909.9285	103476.7067	104093.1373	76548.0011
sp|Q14DH7|ACSS3_MOUSE	Q14DH7	ACSS3_MOUSE	Acss3	682	Mus musculus OX=10090	Acyl-CoA synthetase short-chain family member 3, mitochondrial 	1:Experimental evidence at protein level	0.9907	0.9979	2	1	2	2	1	2	1733557	1733557	1733557	9K(229.1629), N-term(229.1629)			77120.7604	103271.0926	80532.1872	67529.8552	102753.9155	80410.4707	90896.3758	75560.2850	78770.3914	69919.2814
sp|Q3TIR1-2|TPC13_MOUSE	Q3TIR1-2	TPC13_MOUSE	Trappc13	418	Mus musculus OX=10090	Isoform 2 of Trafficking protein particle complex subunit 13 		0.9907	0.9990	1	0	1	1	0	1	331706	     0	331706	N-term(229.1629)		sp|Q3TIR1-3|TPC13_MOUSE, sp|Q3TIR1|TPC13_MOUSE	20088.5512	20195.5534	17805.7827	13516.2590	26392.4551	13981.1177	10399.9366	15311.5133	11856.2199	10922.1845
sp|Q3UE37|UBE2Z_MOUSE	Q3UE37	UBE2Z_MOUSE	Ube2z	356	Mus musculus OX=10090	Ubiquitin-conjugating enzyme E2 Z 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	1	1	1	1460692	1460692	1460692	13C(57.0214), 14K(229.1629), N-term(229.1629)			116079.2714	60686.3689	100287.7624	118451.7206	176910.7031	136205.6734	136814.7960	99481.2592	116008.9729	100485.8368
sp|Q3V0K9|PLSI_MOUSE	Q3V0K9	PLSI_MOUSE	Pls1	630	Mus musculus OX=10090	Plastin-1 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	1	1	1	10562133	728835	728835	13K(229.1629), 1K(229.1629), 5C(57.0214), N-term(229.1629)			76408.2306	86159.2212	54716.7665	69825.0719	103549.0000	63897.3047	70873.4391	65080.6556	53004.5657	56211.4488
sp|Q641P0|ARP3B_MOUSE	Q641P0	ARP3B_MOUSE	Actr3b	418	Mus musculus OX=10090	Actin-related protein 3B 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	1	1	1	1096147	     0	     0	16C(57.0214), N-term(229.1629)			35616.3909	16769.3401	35511.9573	35931.0338	52446.5352	51440.9663	52141.8529	47966.5293	53444.9454	63743.6061
sp|Q6PCP5-2|MFF_MOUSE	Q6PCP5-2	MFF_MOUSE	Mff	239	Mus musculus OX=10090	Isoform 2 of Mitochondrial fission factor 		0.9907	0.9990	1	1	1	1	1	1	2282218	     0	     0	N-term(229.1629)			0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sp|Q6ZWU9|RS27_MOUSE	Q6ZWU9	RS27_MOUSE	Rps27	84	Mus musculus OX=10090	40S ribosomal protein S27 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	3	3	3	47162868	8639979	8639979	11K(229.1629), 6S(229.1629), N-term(229.1629)			404076.1491	387914.6174	330140.7605	297894.0512	477571.4961	366781.4295	427114.0526	355846.5083	318787.0540	325552.9817
sp|Q8CIF4|BTD_MOUSE	Q8CIF4	BTD_MOUSE	Btd	520	Mus musculus OX=10090	Biotinidase 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	2	2	2	899764	899764	899764	12K(229.1629), 7C(57.0214), N-term(229.1629)			29477.7593	28464.5515	23489.4090	22359.7121	37923.5684	28665.1862	20071.8707	26117.6515	20342.6398	15313.7607
sp|Q8K1B8|URP2_MOUSE	Q8K1B8	URP2_MOUSE	Fermt3	665	Mus musculus OX=10090	Fermitin family homolog 3 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	2	2	2	263261	263261	263261	N-term(229.1629)			0.0000	4517.5463	0.0000	3439.8127	0.0000	0.0000	3445.9898	7446.4729	3097.8974	4136.5431
sp|Q8R0F6-2|ILKAP_MOUSE	Q8R0F6-2	ILKAP_MOUSE	Ilkap	269	Mus musculus OX=10090	Isoform 2 of Integrin-linked kinase-associated serine/threonine phosphatase 2C 		0.9907	0.9990	1	0	1	1	0	1	     0	     0	     0	N-term(229.1629)		sp|Q8R0F6|ILKAP_MOUSE	14658.6449	25111.6846	13088.2328	10513.6811	34647.5547	15712.7649	20836.7351	12734.8696	19029.1212	15706.0168
sp|Q9CQ26|STABP_MOUSE	Q9CQ26	STABP_MOUSE	Stambp	424	Mus musculus OX=10090	STAM-binding protein 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	1	1	1	3332017	595828	595828	N-term(229.1629)			10243.3945	15160.0961	7600.3389	13343.7293	16783.1387	10701.8856	19900.6148	15012.5479	14487.5146	18453.7856
sp|Q9D0T1|NH2L1_MOUSE	Q9D0T1	NH2L1_MOUSE	Snu13	128	Mus musculus OX=10090	NHP2-like protein 1 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	1	1	1	18801872	18801872	18801872	11C(57.0214), 16K(229.1629), 2C(57.0214), N-term(229.1629)			113475.2619	146586.5861	96304.8290	102764.7280	163234.0156	147467.6818	134857.0962	91147.1675	113124.9903	97440.0283
sp|Q9JMD0-2|ZN207_MOUSE	Q9JMD0-2	ZN207_MOUSE	Znf207	479	Mus musculus OX=10090	Isoform 2 of BUB3-interacting and GLEBS motif-containing protein ZNF207 		0.9907	0.9990	1	0	1	1	0	1	848048	     0	848048	N-term(229.1629)		sp|Q9JMD0-3|ZN207_MOUSE, sp|Q9JMD0-4|ZN207_MOUSE, sp|Q9JMD0|ZN207_MOUSE	33490.4253	37051.3205	28959.1077	36064.1135	39073.0039	38163.3590	49493.5608	45655.2228	59377.4000	45036.8798
sp|Q9JME7|TPC2L_MOUSE	Q9JME7	TPC2L_MOUSE	Trappc2l	139	Mus musculus OX=10090	Trafficking protein particle complex subunit 2-like protein 	1:Experimental evidence at protein level	0.9907	0.9990	1	1	1	2	2	2	614058	614058	614058	14K(229.1629), N-term(229.1629)			71250.3967	47905.9837	43582.5206	83829.6017	105760.5938	96277.2723	82421.8151	65187.7631	94559.2399	85867.1740
sp|Q9QXK3-4|COPG2_MOUSE	Q9QXK3-4	COPG2_MOUSE	Copg2	870	Mus musculus OX=10090	Isoform 4 of Coatomer subunit gamma-2 		0.9907	0.9990	1	0	1	2	0	2	7881763	     0	815000	12K(229.1629), 9K(229.1629), N-term(229.1629)		sp|Q9QXK3|COPG2_MOUSE	135318.9068	144728.3657	116328.9433	141962.3112	159571.6758	155887.0377	216848.2552	174859.2588	161619.3994	167607.0663
